"Age","Sex","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"25","Females","385996","367279","359612","345460","334113","327362","329088","321096","319476","318319","310013","311340","319720","313495","313102","307576","308048","295813"
"25","Total","779198","741177","727842","699874","676101","659365","662435","648469","642999","639200","625221","629785","648419","636172","638292","629535","634033","610365"
"26","Males","417331","394884","382877","375540","356109","342606","338213","338931","331355","328163","324679","319702","321492","329811","324163","328131","323901","327377"
"26","Females","411288","389186","376002","366759","349992","337644","336031","336787","326861","325924","323551","314871","315090","321616","314741","314305","308621","309013"
"26","Total","828619","784070","758879","742299","706101","680250","674244","675718","658216","654087","648230","634573","636582","651427","638904","642436","632522","636390"
"27","Males","435484","419024","404474","390856","377710","356968","349221","343501","342322","335702","332068","329253","322889","322598","331241","326046","330565","325160"
"27","Females","429526","414434","398072","383265","371599","353846","346436","343127","341941","332502","330562","328049","318142","316685","322703","315961","315371","309439"
"27","Total","865010","833458","802546","774121","749309","710814","695657","686628","684263","668204","662630","657302","641031","639283","653944","642007","645936","634599"
"28","Males","437208","437850","428659","412893","393742","379164","363503","354598","346191","346365","339719","336685","332483","323838","324127","333278","327464","331737"
"28","Females","432426","433779","424542","407051","389662","376888","364074","354893","348499","347581","337857","334549","330807","319565","317728","323900","317051","315976"
"28","Total","869634","871629","853201","819944","783404","756052","727577","709491","694690","693946","677576","671234","663290","643403","641855","657178","644515","647713"
"29","Males","444829","439903","448424","437439","416459","395887","386180","368829","357640","349372","349950","344069","339593","333465","325440","325867","334849","328580"
"29","Females","438839","435836","442804","431387","411811","393743","385870","370944","358789","352563","351057","341492","337225","331866","320351","318828","324785","317952"
"29","Total","883668","875739","891228","868826","828270","789630","772050","739773","716429","701935","701007","685561","676818","665331","645791","644695","659634","646532"
"30","Males","452979","448219","450364","458047","441351","419203","403625","392519","371641","361153","353336","354403","346790","340419","334869","327139","327100","336140"
"30","Females","447945","442410","444881","450310","435936","415645","402587","393133","374959","362433","355580","354538","343940","338119","332477","321317","319536","325542"
"30","Total","900924","890629","895245","908357","877287","834848","806212","785652","746600","723586","708916","708941","690730","678538","667346","648456","646636","661682"
"31","Males","448928","455203","456859","457801","461266","442601","425683","408717","394633","373974","363126","357437","357333","347571","341615","336419","328389","328519"
"31","Females","444238","450846","449922","450376","453706","438260","422915","407674","396477","377856","364182","358875","356746","344702","338566","333056","322059","320439"
"31","Total","893166","906049","906781","908177","914972","880861","848598","816391","791110","751830","727308","716312","714079","692273","680181","669475","650448","648958"
"32","Males","463220","451136","462571","463228","459777","462439","447933","429624","410191","396521","375143","367257","360006","358021","348424","342831","337325","329625"
"32","Females","458147","445597","456185","453289","451659","454605","443171","425910","409155","398293","378094","367062","360870","357517","345034","339055","333392","322805"
"32","Total","921367","896733","918756","916517","911436","917044","891104","855534","819346","794814","753237","734319","720876","715538","693458","681886","670717","652430"
"33","Males","456815","465028","457971","468201","464904","460224","467245","450765","430306","411439","396956","379047","369914","360733","359018","349257","343520","338601"
"33","Females","451097","461043","451459","460369","455407","453181","460251","446335","427759","411244","398956","380746","368913","361340","357812","345399","339536","333935"
"33","Total","907912","926071","909430","928570","920311","913405","927496","897100","858065","822683","795912","759793","738827","722073","716830","694656","683056","672536"
"34","Males","459019","457385","469602","460899","467438","463331","462096","467613","449387","430001","410140","400364","381638","370525","361522","359915","349656","344688"
"34","Females","455802","456301","468564","457946","464536","459122","460656","466356","449988","431702","414062","401537","382576","369258","361456","358124","345759","340206"
"34","Total","914821","913686","938166","918845","931974","922453","922752","933969","899375","861703","824202","801901","764214","739783","722978","718039","695415","684894"
"35","Males","473799","460877","463072","474151","462075","467274","466632","463724","467616","449630","429620","413265","402746","382058","371593","362128","360505","350654"
"35","Females","470041","458942","462766","473035","460582","466619","465106","465006","469274","452898","432952","416407","403282","383052","369416","361717","358356","346311"
"35","Total","943840","919819","925838","947186","922657","933893","931738","928730","936890","902528","862572","829672","806028","765110","741009","723845","718861","696965"
"36","Males","474668","477416","468023","470096","477339","464434","472354","470520","465586","469717","451155","432642","415455","403200","382630","372475","362370","361816"
"36","Females","471821","473160","465602","467856","475700","462788","472826","469704","468143","472411","454385","434977","417982","403526","383029","369437","361916","359005"
"36","Total","946489","950576","933625","937952","953039","927222","945180","940224","933729","942128","905540","867619","833437","806726","765659","741912","724286","720821"
"37","Males","481113","477485","482495","473727","472784","478937","469273","475456","471824","467035","470442","453647","434559","415673","403662","382784","372836","363353"
"37","Females","477379","473605","478432","470176","470222","477430","468507","476920","472505","471097","473688","456409","436474","417966","403546","383077","369423","362537"
"37","Total","958492","951090","960927","943903","943006","956367","937780","952376","944329","938132","944130","910056","871033","833639","807208","765861","742259","725890"
"38","Males","452721","483036","481752","486243","475515","474035","482930","471977","476070","472523","467274","472710","455256","434593","416077","403876","382746","373968"
"38","Females","453404","479357","478694","482275","472746","472148","483137","472621","479630","475467","472566","475622","457696","436564","417977","403454","383049","370021"
"38","Total","906125","962393","960446","968518","948261","946183","966067","944598","955700","947990","939840","948332","912952","871157","834054","807330","765795","743989"
"39","Males","438786","454341","487346","485593","487387","476746","478400","485635","473009","476753","472647","469243","474211","454973","434613","416128","403771","383565"
"39","Females","440985","454837","484752","482353","484183","475018","478454","487118","475282","482354","476752","474352","476954","457831","436590","417703","403283","383503"
"39","Total","879771","909178","972098","967946","971570","951764","956854","972753","948291","959107","949399","943595","951165","912804","871203","833831","807054","767068"
"40","Males","432370","439998","457723","490976","486880","488108","480755","481082","486346","473709","476599","474635","470309","473835","454769","434372","415837","404602"
"40","Females","435359","442069","459547","488695","484224","485635","481438","482952","489586","478147","483711","478572","475396","476897","457715","436419","417390","403489"
"40","Total","867729","882067","917270","979671","971104","973743","962193","964034","975932","951856","960310","953207","945705","950732","912484","870791","833227","808091"
"41","Males","418288","433225","443012","460659","492378","487497","490373","483131","482058","486811","473604","478236","475791","469871","473527","454456","433945","416373"
"41","Females","422817","435946","446588","462906","490626","485734","489863","486025","486062","492373","479402","485550","479722","475376","476626","457395","436186","417606"
"41","Total","841105","869171","889600","923565","983004","973231","980236","969156","968120","979184","953006","963786","955513","945247","950153","911851","870131","833979"
"42","Males","409871","419136","435760","445520","461575","493251","489613","491825","483954","482861","486491","475248","479048","475287","469437","472913","453757","434347"
"42","Females","411070","423380","440128","449790","464407","492444","490036","493135","489262","489361","493757","481085","486621","479818","475114","476278","457176","436238"
"42","Total","820941","842516","875888","895310","925982","985695","979649","984960","973216","972222","980248","956333","965669","955105","944551","949191","910933","870585"
"43","Males","391514","410671","421790","438022","446377","462179","495533","491003","491911","484452","482755","487731","475921","478441","474884","468875","472198","453871"
"43","Females","393856","411876","427543","443048","450933","465487","496959","493334","495515","492624","491145","495378","482175","486782","479524","474618","475962","457197"
"43","Total","785370","822547","849333","881070","897310","927666","992492","984337","987426","977076","973900","983109","958096","965223","954408","943493","948160","911068"
"44","Males","387490","392243","412856","423870","438555","446767","463954","496971","491048","491850","484173","484038","488216","475327","477838","474374","468199","472267"
