"Age","Sex","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"31","Males","423459","438699","442887","456214","486621","477383","476520","461436","457522","463286"
"31","Females","421057","435104","440699","453574","479684","471849","470078","455080","450167","457812"
"31","Total","844516","873803","883586","909788","966305","949232","946598","916516","907689","921098"
"32","Males","416447","422788","437938","442087","455408","485551","476592","475663","460539","457063"
"32","Females","412509","420935","435026","440622","453433","479233","471768","470055","454899","450488"
"32","Total","828956","843723","872964","882709","908841","964784","948360","945718","915438","907551"
"33","Males","398553","415758","422222","437019","441362","454851","484534","475782","474868","459808"
"33","Females","397783","412240","420953","434947","440526","453395","478807","471762","469938","454802"
"33","Total","796336","827998","843175","871966","881888","908246","963341","947544","944806","914610"
"34","Males","397319","397809","415099","421488","436189","440798","454369","483447","474952","474211"
"34","Females","396877","397376","412056","420966","434868","440572","453383","478423","471658","469876"
"34","Total","794196","795185","827155","842454","871057","881370","907752","961870","946610","944087"
"35","Males","392590","396505","397189","414289","420856","435451","440407","453819","482403","474259"
"35","Females","393890","396271","397093","411854","421036","434957","440657","453413","477984","471598"
"35","Total","786480","792776","794282","826143","841892","870408","881064","907232","960387","945857"
"36","Males","387243","391838","395757","396398","413532","420305","434840","439925","453313","481438"
"36","Females","388718","393417","395807","396726","411700","421381","435076","440780","453372","477596"
"36","Total","775961","785255","791564","793124","825232","841686","869916","880705","906685","959034"
"37","Males","384580","386544","391187","394794","395582","412889","419985","434137","439417","452916"
"37","Females","388089","388385","393083","395260","396336","411686","421769","435151","440824","453359"
"37","Total","772669","774929","784270","790054","791918","824575","841754","869288","880241","906275"
"38","Males","369708","383744","385887","390313","393815","394871","412343","419460","433443","438985"
"38","Females","370798","387592","388103","392652","394704","395919","411617","422041","435197","440898"
"38","Total","740506","771336","773990","782965","788519","790790","823960","841501","868640","879883"
"39","Males","368312","369009","382978","385003","389436","392771","394217","411628","418946","432833"
"39","Females","371848","370406","387216","387792","392221","394012","395517","411517","422292","435291"
"39","Total","740160","739415","770194","772795","781657","786783","789734","823145","841238","868124"
"40","Males","369332","367506","368313","381950","384166","388551","391790","393447","410945","418535"
"40","Females","373152","371460","370050","386757","387507","391742","393382","395125","411332","422584"
"40","Total","742484","738966","738363","768707","771673","780293","785172","788572","822277","841119"
"41","Males","386182","368532","366796","367438","380915","383296","387659","390686","392684","410353"
"41","Females","390092","372845","371144","369671","386300","387201","391287","392667","394625","411209"
"41","Total","776274","741377","737940","737109","767215","770497","778946","783353","787309","821562"
"42","Males","390831","385310","367705","365879","366570","379881","382416","386730","389480","392015"
"42","Females","394239","389736","372587","370798","369291","385742","386919","390765","391891","394174"
"42","Total","785070","775046","740292","736677","735861","765623","769335","777495","781371","786189"
"43","Males","412107","389836","384405","366743","364987","365659","378739","381458","385714","388385"
"43","Females","416908","393666","389438","372303","370426","368917","385215","386576","390195","391195"
"43","Total","829015","783502","773843","739046","735413","734576","763954","768034","775909","779580"
"44","Males","406355","410774","388817","383285","365685","363915","364732","377529","380435","384764"
"44","Females","410085","415972","393112","389123","372064","370068","368523","384618","386210","389636"
"44","Total","816440","826746","781929","772408","737749","733983","733255","762147","766645","774400"
"45","Males","410449","404908","409528","387628","382224","364657","362817","363635","376195","379469"
"45","Females","416288","409136","415211","392448","388791","371878","369717","368087","384003","385858"
"45","Total","826737","814044","824739","780076","771015","736535","732534","731722","760198","765327"
"46","Males","319991","408735","403492","408027","386308","380999","363544","361669","362490","374931"
"46","Females","325431","415151","408286","414218","391777","388532","371675","369317","367585","383394"
"46","Total","645422","823886","811778","822245","778085","769531","735219","730986","730075","758325"
"47","Males","330807","318874","407214","401854","406447","384952","379704","362308","360384","361363"
"47","Females","336693","324673","414226","407249","413217","390968","388253","371361","368886","367075"
"47","Total","667500","643547","821440","809103","819664","775920","767957","733669","729270","728438"
"48","Males","335582","329456","317693","405341","400152","404598","383426","378326","361003","359177"
"48","Females","344372","335886","324024","413153","406102","411996","390169","387973","371101","368428"
"48","Total","679954","665342","641717","818494","806254","816594","773595","766299","732104","727605"
"49","Males","337479","334128","328101","316367","403301","398059","402625","381924","376871","359681"
"49","Females","347857","343575","335160","323302","411909","404654","410845","389318","387596","370838"
"49","Total","685336","677703","663261","639669","815210","802713","813470","771242","764467","730519"
"50","Males","341372","335770","332641","326524","314932","401011","395863","400625","380208","375362"
"50","Females","352598","346919","342864","334346","322538","410498","403193","409611","388371","387213"
"50","Total","693970","682689","675505","660870","637470","811509","799056","810236","768579","762575"
"51","Males","377559","339601","334046","330917","324844","313316","398584","393548","398549","378475"
"51","Females","392194","351772","346043","342017","333449","321725","409079","401805","408345","387444"
"51","Total","769753","691373","680089","672934","658293","635041","807663","795353","806894","765919"
"52","Males","375648","375540","337729","332116","329107","322888","311609","395977","391061","396336"
"52","Females","388505","391142","351003","345191","341180","332465","320870","407505","400272","406991"
"52","Total","764153","766682","688732","677307","670287","655353","632479","803482","791333","803327"
"53","Males","367403","373417","373328","335699","330130","327196","320812","309786","393227","388539"
"53","Females","382347","387374","390065","350118","344239","340263","331420","319974","405923","398724"
"53","Total","749750","760791","763393","685817","674369","667459","652232","629760","799150","787263"
"54","Males","342721","364858","371074","370915","333630","327826","325034","318652","307791","390498"
"54","Females","358942","380975","386207","388998","349256","343240","339340","330385","319040","404352"
"54","Total","701663","745833","757281","759913","682886","671066","664374","649037","626831","794850"
"55","Males","327662","340216","362265","368483","368337","331315","325316","322801","316318","305757"
"55","Females","347723","357618","379606","384940","387856","348333","342227","338357","329266","318052"
"55","Total","675385","697834","741871","753423","756193","679648","667543","661158","645584","623809"
"56","Males","337945","324949","337521","359512","365656","365596","328791","322785","320423","313884"
"56","Females","358488","346231","356214","378185","383595","386766","347461","341046","337229","328093"
"56","Total","696433","671180","693735","737697","749251","752362","676252","663831","657652","641977"
"57","Males","331051","335019","322076","334478","356423","362786","362579","326091","320036","317919"
"57","Females","353790","357080","344793","354745","376641","382223","385530","346480","339874","336047"
"57","Total","684841","692099","666869","689223","733064","745009","748109","672571","659910","653966"
"58","Males","327342","327777","331824","319140","331280","353097","359663","359391","323196","317237"
