"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"2000","Liguria","061","037","005","103",""
"2000","Lombardia","066","045","011","121",""
"2000","Trentino-Alto Adige/Südtirol","072","056","019","146",""
"2000","Veneto","066","044","012","122",""
"2000","Friuli-Venezia Giulia","062","041","008","110",""
"2000","Emilia-Romagna","071","036","009","117",""
"2000","Toscana","067","038","008","112",""
"2000","Umbria","066","041","010","117",""
"2000","Marche","065","044","010","118",""
"2000","Lazio","063","046","011","120",""
"2000","Abruzzo","057","046","013","116",""
"2000","Molise","055","046","014","115",""
"2000","Campania","068","057","023","148",""
"2000","Puglia","064","054","017","135",""
"2000","Basilicata","054","051","019","125",""
"2000","Calabria","055","051","020","126",""
"2000","Sicilia","070","050","021","141",""
"2000","Sardegna","054","039","013","106",""
"2000","Italia","066","046","014","126",""
"2001","Piemonte","068","038","009","115",""
"2001","Valle d'Aosta/Vallée d'Aoste","068","045","009","122",""
"2001","Liguria","063","038","005","106",""
"2001","Lombardia","066","045","011","122",""
"2001","Trentino-Alto Adige/Südtirol","072","055","019","146",""
"2001","Veneto","065","043","012","120",""
"2001","Friuli-Venezia Giulia","061","041","008","110",""
"2001","Emilia-Romagna","073","036","010","119",""
"2001","Toscana","067","038","008","113",""
"2001","Umbria","066","041","010","117",""
"2001","Marche","063","043","010","115",""
"2001","Lazio","060","046","011","117",""
"2001","Abruzzo","057","047","013","117",""
"2001","Molise","052","046","014","112",""
"2001","Campania","067","057","024","149",""
"2001","Puglia","063","054","017","134",""
"2001","Basilicata","051","050","020","121",""
"2001","Calabria","053","050","020","124",""
"2001","Sicilia","068","050","022","140",""
"2001","Sardegna","052","039","013","104",""
"2001","Italia","065","046","014","125",""
"2002","Piemonte","068","041","011","120",""
"2002","Valle d'Aosta/Vallée d'Aoste","068","046","010","125",""
"2002","Liguria","064","038","007","109",""
"2002","Lombardia","068","045","012","126",""
"2002","Trentino-Alto Adige/Südtirol","068","055","022","145",""
"2002","Veneto","067","044","013","124",""
"2002","Friuli-Venezia Giulia","066","038","008","112",""
"2002","Emilia-Romagna","072","040","012","124",""
"2002","Toscana","068","040","010","118",""
"2002","Umbria","068","042","013","124",""
"2002","Marche","066","045","012","122",""
"2002","Lazio","063","045","012","120",""
"2002","Abruzzo","056","045","013","114",""
"2002","Molise","053","047","015","115",""
"2002","Campania","064","057","026","147",""
"2002","Puglia","060","052","018","130",""
"2002","Basilicata","055","050","019","124",""
"2002","Calabria","054","048","021","123",""
"2002","Sicilia","064","052","024","140",""
"2002","Sardegna","051","038","014","103",""
"2002","Italia","065","047","015","127",""
"2003","Piemonte","066","044","012","122",""
"2003","Valle d'Aosta/Vallée d'Aoste","066","049","013","128",""
"2003","Liguria","065","037","009","111",""
"2003","Lombardia","069","045","013","127",""
"2003","Trentino-Alto Adige/Südtirol","065","055","026","146",""
"2003","Provincia Autonoma di Bolzano","061","056","035","152",""
"2003","Provincia Autonoma di Trento","069","054","018","141",""
"2003","Veneto","067","045","014","126",""
"2003","Friuli-Venezia Giulia","071","036","009","116",""
"2003","Emilia-Romagna","068","042","014","124",""
"2003","Toscana","064","040","012","116",""
"2003","Umbria","065","042","016","123",""
"2003","Marche","064","045","013","122",""
"2003","Lazio","067","046","013","126",""
"2003","Abruzzo","058","046","014","119",""
"2003","Molise","053","046","017","116",""
"2003","Campania","062","058","028","148",""
"2003","Puglia","060","051","020","130",""
"2003","Basilicata","056","048","017","121",""
"2003","Calabria","056","048","022","127",""
"2003","Sicilia","061","055","026","143",""
"2003","Sardegna","052","040","015","107",""
"2003","Italia","065","047","017","129",""
"2004","Piemonte","069","045","012","126",""
"2004","Valle d'Aosta/Vallée d'Aoste","069","050","014","133",""
"2004","Liguria","069","040","009","118",""
"2004","Lombardia","073","049","014","136",""
"2004","Trentino-Alto Adige/Südtirol","069","059","028","155",""
"2004","Provincia Autonoma di Bolzano","062","059","035","156",""
"2004","Provincia Autonoma di Trento","075","059","021","155",""
"2004","Veneto","071","050","015","136",""
"2004","Friuli-Venezia Giulia","068","043","010","121",""
"2004","Emilia-Romagna","072","046","014","133",""
"2004","Toscana","072","044","012","128",""
"2004","Umbria","073","045","014","131",""
"2004","Marche","067","046","013","127",""
"2004","Lazio","069","048","013","130",""
"2004","Abruzzo","061","045","014","120",""
"2004","Molise","052","045","018","114",""
"2004","Campania","063","059","027","149",""
"2004","Puglia","063","052","019","134",""
"2004","Basilicata","056","050","017","123",""
"2004","Calabria","056","050","022","127",""
"2004","Sicilia","063","056","025","144",""
"2004","Sardegna","052","039","014","104",""
"2004","Italia","068","050","017","134",""
"2005","Piemonte","070","044","013","127",""
"2005","Valle d'Aosta/Vallée d'Aoste","074","047","014","134",""
"2005","Liguria","070","040","010","119",""
"2005","Lombardia","074","048","015","137",""
"2005","Trentino-Alto Adige/Südtirol","068","057","029","155",""
"2005","Provincia Autonoma di Bolzano","062","060","037","160",""
"2005","Provincia Autonoma di Trento","074","055","021","149",""
"2005","Veneto","072","049","015","136",""
"2005","Friuli-Venezia Giulia","069","044","011","124",""
"2005","Emilia-Romagna","075","046","015","135",""
"2005","Toscana","072","044","012","128",""
"2005","Umbria","073","047","014","134",""
"2005","Marche","069","046","013","128",""
